title,score,episode,aired,user
Uchuu Kyoudai,8.49,TV (99 eps),Apr 2012 - Mar 2014,"188,186 members"
Ansatsu Kyoushitsu 2nd Season,8.49,TV (25 eps),Jan 2016 - Jul 2016,"1,373,182 members"
Aria the Origination,8.48,TV (13 eps),Jan 2008 - Apr 2008,"124,656 members"
Banana Fish,8.48,TV (24 eps),Jul 2018 - Dec 2018,"819,786 members"
Rainbow: Nisha Rokubou no Shichinin,8.48,TV (26 eps),Apr 2010 - Sep 2010,"383,325 members"
Road of Naruto,8.48,ONA (1 eps),Oct 2022 - Oct 2022,"28,412 members"
Shiguang Dailiren II,8.48,ONA (12 eps),Jul 2023 -,"66,621 members"
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,8.47,Movie (1 eps),Oct 2013 - Oct 2013,"364,137 members"
Chihayafuru 3,8.47,TV (24 eps),Oct 2019 - Mar 2020,"134,062 members"
Gintama: The Semi-Final,8.47,Special (2 eps),Jan 2021 - Jan 2021,"70,569 members"
Jujutsu Kaisen 0 Movie,8.47,Movie (1 eps),Dec 2021 - Dec 2021,"747,756 members"
Nichijou,8.46,TV (26 eps),Apr 2011 - Sep 2011,"859,841 members"
Yuru Camp△ Movie,8.46,Movie (1 eps),Jul 2022 - Jul 2022,"68,222 members"
Yuu☆Yuu☆Hakusho,8.46,TV (112 eps),Oct 1992 - Jan 1995,"659,539 members"
Zoku Owarimonogatari,8.45,Movie (6 eps),Nov 2018 - Nov 2018,"216,370 members"
Bungou Stray Dogs 4th Season,8.45,TV (13 eps),Jan 2023 - Mar 2023,"239,287 members"
Golden Kamuy 3rd Season,8.45,TV (12 eps),Oct 2020 - Dec 2020,"156,723 members"
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,8.45,Movie (1 eps),Aug 2019 - Aug 2019,"734,459 members"
Owarimonogatari,8.45,TV (12 eps),Oct 2015 - Dec 2015,"464,609 members"
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.45,Movie (1 eps),Apr 2013 - Apr 2013,"575,762 members"
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.44,TV (12 eps),Jan 2021 - Mar 2021,"830,368 members"
Fruits Basket: Prelude,8.44,Movie (1 eps),Feb 2022 - Feb 2022,"94,511 members"
Haikyuu!!,8.44,TV (25 eps),Apr 2014 - Sep 2014,"1,886,911 members"
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,8.44,TV (24 eps),Jan 2015 - Jun 2015,"1,060,645 members"
Gintama: Yorinuki Gintama-san on Theater 2D,8.43,Movie (2 eps),Aug 2012 - Aug 2012,"42,863 members"
Grand Blue,8.43,TV (12 eps),Jul 2018 - Sep 2018,"739,424 members"
Mononoke,8.43,TV (12 eps),Jul 2007 - Sep 2007,"312,182 members"
Mushishi Zoku Shou: Odoro no Michi,8.43,Special (1 eps),Aug 2014 - Aug 2014,"97,502 members"
