title,score,episode,aired,user
Detective Conan Movie 18: The Sniper from Another Dimension,8.06,Movie (1 eps),Apr 2014 - Apr 2014,"41,616 members"
Detective Conan Movie 25: Halloween no Hanayome,8.06,Movie (1 eps),Apr 2022 - Apr 2022,"12,773 members"
Durarara!!x2 Ketsu,8.06,TV (12 eps),Jan 2016 - Mar 2016,"369,015 members"
Girls & Panzer: Saishuushou Part 2,8.06,Movie (1 eps),Jun 2019 - Jun 2019,"33,677 members"
Dorohedoro,8.05,TV (12 eps),Jan 2020 - Mar 2020,"514,366 members"
Ginga Eiyuu Densetsu Gaiden (1999),8.05,OVA (28 eps),Dec 1999 - Jul 2000,"19,632 members"
Glass no Kamen (2005),8.05,TV (51 eps),Apr 2005 - Mar 2006,"38,449 members"
Gosick,8.05,TV (24 eps),Jan 2011 - Jul 2011,"531,220 members"
Uma Musume: Pretty Derby Season 2,8.05,TV (13 eps),Jan 2021 - Mar 2021,"46,304 members"
Karakai Jouzu no Takagi-san 2,8.05,TV (12 eps),Jul 2019 - Sep 2019,"319,342 members"
Kidou Senshi Gundam: Tekketsu no Orphans,8.05,TV (25 eps),Oct 2015 - Mar 2016,"232,297 members"
Mairimashita! Iruma-kun 2nd Season,8.05,TV (21 eps),Apr 2021 - Sep 2021,"296,260 members"
Omoide no Marnie,8.05,Movie (1 eps),Jul 2014 - Jul 2014,"284,374 members"
Saint Seiya: Meiou Hades Juuni Kyuu-hen,8.05,OVA (13 eps),Nov 2002 - Jul 2003,"55,546 members"
Shijou Saikyou no Deshi Kenichi,8.05,TV (50 eps),Oct 2006 - Sep 2007,"294,647 members"
Kill la Kill,8.04,TV (24 eps),Oct 2013 - Mar 2014,"1,669,654 members"
Paprika,8.04,Movie (1 eps),Nov 2006 - Nov 2006,"515,618 members"
BanG Dream! 3rd Season,8.04,TV (13 eps),Jan 2020 - Apr 2020,"34,610 members"
BanG Dream! Movie: Episode of Roselia - II: Song I Am.,8.04,Movie (1 eps),Jun 2021 - Jun 2021,"7,795 members"
Boku no Hero Academia 3rd Season,8.04,TV (25 eps),Apr 2018 - Sep 2018,"2,103,054 members"
Dennou Coil,8.04,TV (26 eps),May 2007 - Dec 2007,"143,757 members"
Fate/stay night: Unlimited Blade Works Prologue,8.04,Special (1 eps),Oct 2014 - Oct 2014,"311,254 members"
Ginga Eiyuu Densetsu: Die Neue These - Seiran 1,8.04,Movie (4 eps),Sep 2019 - Sep 2019,"27,744 members"
Golden Boy,8.04,OVA (6 eps),Oct 1995 - Jun 1996,"378,861 members"
Haikyuu!! Movie 2: Shousha to Haisha,8.04,Movie (1 eps),Sep 2015 - Sep 2015,"87,952 members"
Kamisama Hajimemashita OVA,8.04,OVA (2 eps),Aug 2013 - Aug 2013,"125,954 members"
xxxHOLiC Shunmuki,8.04,OVA (2 eps),Feb 2009 - Jun 2009,"68,800 members"
Summer Wars,8.03,Movie (1 eps),Aug 2009 - Aug 2009,"509,269 members"
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,8.03,OVA (1 eps),Oct 2016 - Oct 2016,"239,929 members"
Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,8.03,OVA (1 eps),Jul 2017 - Jul 2017,"354,841 members"
Lovely★Complex,8.03,TV (24 eps),Apr 2007 - Sep 2007,"568,928 members"
Luo Xiao Hei Zhan Ji (Movie),8.03,Movie (1 eps),Sep 2019 - Sep 2019,"24,274 members"
Akatsuki no Yona,8.03,TV (24 eps),Oct 2014 - Mar 2015,"822,036 members"
Black Lagoon,8.03,TV (12 eps),Apr 2006 - Jun 2006,"968,099 members"
Detective Conan Movie 03: The Last Wizard of the Century,8.03,Movie (1 eps),Apr 1999 - Apr 1999,"63,899 members"
Detective Conan Movie 04: Captured in Her Eyes,8.03,Movie (1 eps),Apr 2000 - Apr 2000,"60,305 members"
Detective Conan Movie 10: Requiem of the Detectives,8.03,Movie (1 eps),Apr 2006 - Apr 2006,"54,298 members"
Doupo Cangqiong: San Nian Zhi Yue,8.03,ONA (13 eps),Oct 2021 - Jan 2022,"6,296 members"
FLCL,8.03,OVA (6 eps),Apr 2000 - Mar 2001,"792,486 members"
Full Metal Panic? Fumoffu,8.03,TV (12 eps),Aug 2003 - Nov 2003,"290,209 members"
Hanada Shounen-shi,8.03,TV (25 eps),Oct 2002 - Mar 2003,"15,227 members"
Black Lagoon: Roberta's Blood Trail,8.02,OVA (5 eps),Jun 2010 - Jun 2011,"287,448 members"
D.Gray-man,8.02,TV (103 eps),Oct 2006 - Sep 2008,"676,724 members"
Ginga Nagareboshi Gin,8.02,TV (21 eps),Apr 1986 - Aug 1986,"26,270 members"
Juuni Kokuki,8.02,TV (45 eps),Apr 2002 - Aug 2003,"145,471 members"
Toaru Kagaku no Railgun S,8.02,TV (24 eps),Apr 2013 - Sep 2013,"378,118 members"
Kara no Kyoukai Movie 3: Tsuukaku Zanryuu,8.02,Movie (1 eps),Feb 2008 - Feb 2008,"222,893 members"
Magi: The Labyrinth of Magic,8.02,TV (25 eps),Oct 2012 - Mar 2013,"1,013,864 members"
Omae Umasou da na,8.02,Movie (1 eps),Oct 2010 - Oct 2010,"19,207 members"
Persona 3 the Movie 4: Winter of Rebirth,8.02,Movie (1 eps),Jan 2016 - Jan 2016,"70,399 members"
Saiunkoku Monogatari 2nd Season,8.02,TV (39 eps),Apr 2007 - Mar 2008,"40,194 members"
SK∞,8.02,TV (12 eps),Jan 2021 - Apr 2021,"527,842 members"
Slayers Next,8.02,TV (26 eps),Apr 1996 - Sep 1996,"68,834 members"
Kidou Senshi Gundam: Dai 08 MS Shoutai,8.01,OVA (12 eps),Jan 1996 - Jul 1999,"80,520 members"
Kidou Senshi Gundam: Suisei no Majo Season 2,8.01,TV (12 eps),Apr 2023 - Jul 2023,"69,353 members"
Pui Pui Molcar,8.01,TV (12 eps),Jan 2021 - Mar 2021,"15,473 members"
Shokugeki no Souma: San no Sara,8.01,TV (12 eps),Oct 2017 - Dec 2017,"943,416 members"
Baby Steps 2nd Season,8.01,TV (25 eps),Apr 2015 - Sep 2015,"89,163 members"
Doupo Cangqiong: Nian Fan,8.01,ONA (104 eps),Jul 2022 -,"5,251 members"
Eve no Jikan,8.01,ONA (6 eps),Aug 2008 - Sep 2009,"180,971 members"
Kaichou wa Maid-sama!,8.01,TV (26 eps),Apr 2010 - Sep 2010,"1,210,111 members"
Tokyo Magnitude 8.0,8.01,TV (11 eps),Jul 2009 - Sep 2009,"291,053 members"
Tsumiki no Ie,8.01,Movie (1 eps),Jun 2008 - Jun 2008,"94,445 members"
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8.01,TV (13 eps),Apr 2013 - Jun 2013,"1,382,869 members"
Zombieland Saga Revenge,8.01,TV (12 eps),Apr 2021 - Jun 2021,"204,956 members"
Touch,8.00,TV (101 eps),Mar 1985 - Mar 1987,"34,804 members"
Yofukashi no Uta,8.00,TV (13 eps),Jul 2022 - Sep 2022,"524,755 members"
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 3 - Yakusoku,8.00,Movie (1 eps),Jul 2017 - Jul 2017,"14,336 members"
Kara no Kyoukai Movie: Mirai Fukuin,8.00,Movie (1 eps),Sep 2013 - Sep 2013,"112,424 members"
Kimi ni Todoke,8.00,TV (25 eps),Oct 2009 - Mar 2010,"900,418 members"
Shadows House 2nd Season,8.00,TV (12 eps),Jul 2022 - Sep 2022,"109,086 members"
Aria the OVA: Arietta,8.00,OVA (1 eps),Sep 2007 - Sep 2007,"36,975 members"
Clannad,8.00,TV (23 eps),Oct 2007 - Mar 2008,"1,379,052 members"
Detective Conan Movie 15: Quarter of Silence,8.00,Movie (1 eps),Apr 2011 - Apr 2011,"46,685 members"
ef: A Tale of Melodies.,8.00,TV (12 eps),Oct 2008 - Dec 2008,"162,644 members"
Evangelion: 1.0 You Are (Not) Alone,8.00,Movie (1 eps),Sep 2007 - Sep 2007,"543,058 members"
Fullmetal Alchemist: Brotherhood Specials,8.00,Special (4 eps),Aug 2009 - Aug 2010,"155,004 members"
Hachimitsu to Clover,8.00,TV (24 eps),Apr 2005 - Sep 2005,"261,732 members"
Haikyuu!! Movie 1: Owari to Hajimari,8.00,Movie (1 eps),Jul 2015 - Jul 2015,"95,865 members"
Hibike! Euphonium,8.00,TV (13 eps),Apr 2015 - Jul 2015,"440,725 members"
Hololive Alternative,8.00,ONA (2 eps),May 2021 - Jun 2022,"10,564 members"
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,8.00,TV (14 eps),Oct 2019 - Dec 2019,"286,743 members"
Hyouge Mono,8.00,TV (39 eps),Apr 2011 - Jan 2012,"27,394 members"
Kami nomi zo Shiru Sekai: Megami-hen,8.00,TV (12 eps),Jul 2013 - Sep 2013,"337,491 members"
Azumanga Daiou The Animation,7.99,TV (26 eps),Apr 2002 - Oct 2002,"333,144 members"
Gensou Mangekyou: The Memories of Phantasm,7.99,OVA (18 eps),Aug 2011 - May 2023,"3,465 members"
Kakushigoto,7.99,TV (12 eps),Apr 2020 - Jun 2020,"318,046 members"
Sword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria,7.99,Movie (1 eps),Oct 2021 - Oct 2021,"235,111 members"
Wolf's Rain OVA,7.99,OVA (4 eps),Jan 2004 - Feb 2004,"65,908 members"
Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Individual Eleven,7.99,Special (1 eps),Jan 2006 - Jan 2006,"29,024 members"
Naruto,7.99,TV (220 eps),Oct 2002 - Feb 2007,"2,740,792 members"
Quanzhi Gaoshou: Dianfeng Rongyao,7.99,Movie (1 eps),Aug 2019 - Aug 2019,"48,171 members"
Kimi ni Todoke 2nd Season,7.98,TV (12 eps),Jan 2011 - Mar 2011,"456,353 members"
Koukaku Kidoutai 2.0,7.98,Movie (1 eps),Jul 2008 - Jul 2008,"87,090 members"
Maoujou de Oyasumi,7.98,TV (12 eps),Oct 2020 - Dec 2020,"200,626 members"
Saint Seiya: The Lost Canvas - Meiou Shinwa,7.98,OVA (13 eps),Jun 2009 - Apr 2010,"105,269 members"
School Rumble Ni Gakki,7.98,TV (26 eps),Apr 2006 - Sep 2006,"158,155 members"
Code Geass: Hangyaku no Lelouch III - Oudou,7.98,Movie (1 eps),May 2018 - May 2018,"89,671 members"
Durarara!!x2 Shou,7.98,TV (12 eps),Jan 2015 - Mar 2015,"471,280 members"
Eve no Jikan (Movie),7.98,Movie (1 eps),Mar 2010 - Mar 2010,"122,679 members"
Tokyo Revengers,7.98,TV (24 eps),Apr 2021 - Sep 2021,"1,171,488 members"
xxxHOLiC,7.98,TV (24 eps),Apr 2006 - Sep 2006,"311,253 members"
Tate no Yuusha no Nariagari,7.97,TV (25 eps),Jan 2019 - Jun 2019,"1,512,702 members"
Tonikaku Kawaii: Joshikou-hen,7.97,ONA (4 eps),Jul 2023 - Aug 2023,"32,682 members"
Yuri!!! on Ice: Yuri Plisetsky GPF in Barcelona EX - Welcome to The Madness,7.97,Special (1 eps),May 2017 - May 2017,"80,958 members"
Kidou Keisatsu Patlabor 2 the Movie,7.97,Movie (1 eps),Aug 1993 - Aug 1993,"35,620 members"
Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,7.97,OVA (6 eps),Mar 1989 - Aug 1989,"57,555 members"
Mahou Shoujo Lyrical Nanoha A's,7.97,TV (13 eps),Oct 2005 - Dec 2005,"63,915 members"
Major Movie: Yuujou no Winning Shot,7.97,Movie (1 eps),Dec 2008 - Dec 2008,"20,143 members"
Nagi no Asu kara,7.97,TV (26 eps),Oct 2013 - Apr 2014,"588,055 members"
Ookiku Furikabutte: Natsu no Taikai-hen,7.97,TV (13 eps),Apr 2010 - Jun 2010,"43,732 members"
ReLIFE,7.97,TV (13 eps),Jul 2016 - Sep 2016,"997,401 members"
Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,7.97,OVA (2 eps),Dec 2001 - Mar 2002,"82,467 members"
Akagami no Shirayuki-hime 2nd Season,7.97,TV (12 eps),Jan 2016 - Mar 2016,"347,356 members"
Aria the Benedizione,7.97,Movie (1 eps),Dec 2021 - Dec 2021,"6,734 members"
Boku no Hero Academia the Movie 2: Heroes:Rising,7.97,Movie (1 eps),Dec 2019 - Dec 2019,"544,274 members"
Bungou Stray Dogs Wan!,7.97,TV (12 eps),Jan 2021 - Mar 2021,"108,408 members"
Durarara!!x2 Ten,7.97,TV (12 eps),Jul 2015 - Sep 2015,"385,460 members"
Haibane Renmei,7.97,TV (13 eps),Oct 2002 - Dec 2002,"274,604 members"
High Score Girl II,7.97,TV (9 eps),Oct 2019 - Dec 2019,"131,297 members"
High Score Girl: Extra Stage,7.97,OVA (3 eps),Mar 2019 - Mar 2019,"71,735 members"
Aria the Origination: Sono Choppiri Himitsu no Basho ni...,7.96,Special (1 eps),Jun 2008 - Jun 2008,"21,216 members"
Dragon Ball,7.96,TV (153 eps),Feb 1986 - Apr 1989,"997,389 members"
Hokuto no Ken,7.96,TV (109 eps),Oct 1984 - Mar 1987,"127,186 members"
IDOLiSH7 Vibrato,7.96,ONA (8 eps),Feb 2018 - Mar 2019,"14,886 members"
Tennis no Oujisama: Zenkoku Taikai-hen - Final,7.96,OVA (7 eps),Apr 2008 - Jan 2009,"35,414 members"
Working!!!,7.96,TV (13 eps),Jul 2015 - Sep 2015,"242,084 members"
Youjo Senki,7.96,TV (12 eps),Jan 2017 - Mar 2017,"876,900 members"
Kobayashi-san Chi no Maid Dragon,7.96,TV (13 eps),Jan 2017 - Apr 2017,"1,191,903 members"
Love Live! Superstar!!,7.96,TV (12 eps),Jul 2021 - Oct 2021,"65,373 members"
Sakasama no Patema,7.96,Movie (1 eps),Nov 2013 - Nov 2013,"281,838 members"
Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,7.96,TV (12 eps),Apr 2018 - Jun 2018,"696,873 members"
Kanon (2006),7.95,TV (24 eps),Oct 2006 - Mar 2007,"266,023 members"
Kobato.,7.95,TV (24 eps),Oct 2009 - Mar 2010,"163,482 members"
Kurenai no Buta,7.95,Movie (1 eps),Jul 1992 - Jul 1992,"236,771 members"
Macross F Movie 2: Sayonara no Tsubasa,7.95,Movie (1 eps),Feb 2011 - Feb 2011,"26,928 members"
Noragami,7.95,TV (12 eps),Jan 2014 - Mar 2014,"2,092,838 members"
Bishoujo Senshi Sailor Moon: Sailor Stars,7.95,TV (34 eps),Mar 1996 - Feb 1997,"109,674 members"
Doupo Cangqiong 4th Season,7.95,ONA (24 eps),Mar 2021 - Aug 2021,"6,366 members"
Girls & Panzer: Saishuushou Part 1,7.95,Movie (1 eps),Dec 2017 - Dec 2017,"45,950 members"
Hikaru no Go: Hokuto Hai e no Michi,7.95,Special (1 eps),Jan 2004 - Jan 2004,"23,516 members"
Tekkon Kinkreet,7.95,Movie (1 eps),Dec 2006 - Dec 2006,"108,371 members"
Wotaku ni Koi wa Muzukashii OVA,7.95,OVA (3 eps),Mar 2019 - Oct 2021,"196,358 members"
Takarajima,7.94,TV (26 eps),Oct 1978 - Apr 1979,"19,539 members"
Usagi Drop Specials,7.94,Special (4 eps),Oct 2011 - Jan 2012,"69,456 members"
Wotaku ni Koi wa Muzukashii,7.94,TV (11 eps),Apr 2018 - Jun 2018,"937,763 members"
xxxHOLiC Movie: Manatsu no Yoru no Yume,7.94,Movie (1 eps),Aug 2005 - Aug 2005,"64,712 members"
Kidou Senshi Gundam Thunderbolt,7.94,ONA (4 eps),Dec 2015 - Apr 2016,"53,677 members"
Kindaichi Shounen no Jikenbo,7.94,TV (148 eps),Apr 1997 - Sep 2000,"29,655 members"
Macross: Do You Remember Love?,7.94,Movie (1 eps),Jul 1984 - Jul 1984,"46,250 members"
Mawaru Penguindrum,7.94,TV (24 eps),Jul 2011 - Dec 2011,"293,769 members"
Non Non Biyori,7.94,TV (12 eps),Oct 2013 - Dec 2013,"414,517 members"
Nurarihyon no Mago: Sennen Makyou,7.94,TV (24 eps),Jul 2011 - Dec 2011,"159,599 members"
One Piece Film: Strong World Episode 0,7.94,OVA (1 eps),Apr 2010 - Apr 2010,"82,159 members"
Osomatsu-san,7.94,TV (25 eps),Oct 2015 - Mar 2016,"168,794 members"
Phantom: Requiem for the Phantom,7.94,TV (26 eps),Apr 2009 - Sep 2009,"327,528 members"
Fate/Grand Order: Zettai Majuu Sensen Babylonia,7.94,TV (21 eps),Oct 2019 - Mar 2020,"268,528 members"
Full Moon wo Sagashite,7.94,TV (52 eps),Apr 2002 - Mar 2003,"106,999 members"
"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",7.93,Special (1 eps),Jul 2008 - Jul 2008,"300,171 members"
Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai,7.93,Movie (1 eps),Aug 2017 - Aug 2017,"93,057 members"
Gochuumon wa Usagi desu ka? Bloom,7.93,TV (12 eps),Oct 2020 - Dec 2020,"60,567 members"
Hanamonogatari,7.93,TV (5 eps),Aug 2014 - Aug 2014,"416,766 members"
Hidamari Sketch x Honeycomb,7.93,TV (12 eps),Oct 2012 - Dec 2012,"23,089 members"
Yowamushi Pedal,7.93,TV (38 eps),Oct 2013 - Jul 2014,"227,160 members"
Kidou Senshi Gundam Thunderbolt: December Sky,7.93,Movie (1 eps),Jun 2016 - Jun 2016,"22,518 members"
Kimi to Boku. 2,7.93,TV (13 eps),Apr 2012 - Jun 2012,"86,679 members"
Kingdom,7.93,TV (38 eps),Jun 2012 - Feb 2013,"206,114 members"
Kokoro Connect: Michi Random,7.93,Special (4 eps),Nov 2012 - Dec 2012,"254,818 members"
Nekomonogatari: Kuro,7.93,TV (4 eps),Dec 2012 - Dec 2012,"539,558 members"
Promare,7.93,Movie (1 eps),May 2019 - May 2019,"268,233 members"
Kono Oto Tomare!,7.92,TV (13 eps),Apr 2019 - Jun 2019,"287,790 members"
Kuuchuu Buranko,7.92,TV (11 eps),Oct 2009 - Dec 2009,"91,063 members"
Log Horizon,7.92,TV (25 eps),Oct 2013 - Mar 2014,"1,087,666 members"
Love Live! The School Idol Movie,7.92,Movie (1 eps),Jun 2015 - Jun 2015,"127,854 members"
Overlord III,7.92,TV (13 eps),Jul 2018 - Oct 2018,"863,066 members"
BanG Dream! Movie: Poppin' Dream!,7.92,Movie (1 eps),Jan 2022 - Jan 2022,"7,871 members"
Bleach,7.92,TV (366 eps),Oct 2004 - Mar 2012,"1,876,303 members"
Bungou Stray Dogs: Dead Apple,7.92,Movie (1 eps),Mar 2018 - Mar 2018,"261,360 members"
City Hunter,7.92,TV (51 eps),Apr 1987 - Mar 1988,"77,326 members"
Darker than Black: Kuro no Keiyakusha Gaiden,7.92,Special (4 eps),Jan 2010 - Jul 2010,"252,809 members"
Eyeshield 21,7.92,TV (145 eps),Apr 2005 - Mar 2008,"178,679 members"
Full Metal Panic! The Second Raid,7.92,TV (13 eps),Jul 2005 - Oct 2005,"256,124 members"
Gake no Ue no Ponyo,7.92,Movie (1 eps),Jul 2008 - Jul 2008,"549,391 members"
Kaleido Star,7.92,TV (51 eps),Apr 2003 - Mar 2004,"83,588 members"
Tamako Love Story,7.92,Movie (1 eps),Apr 2014 - Apr 2014,"372,784 members"
Touhai Densetsu Akagi: Yami ni Maiorita Tensai,7.92,TV (26 eps),Oct 2005 - Mar 2006,"100,306 members"
Trigun: Badlands Rumble,7.92,Movie (1 eps),Apr 2010 - Apr 2010,"138,553 members"
Vampire Hunter D (2000),7.91,Movie (1 eps),Aug 2000 - Aug 2000,"182,654 members"
Yakitate!! Japan,7.91,TV (69 eps),Oct 2004 - Mar 2006,"95,832 members"
Yuru Yuri San☆Hai!,7.91,TV (12 eps),Oct 2015 - Dec 2015,"121,764 members"
Zetsuen no Tempest,7.91,TV (24 eps),Oct 2012 - Mar 2013,"584,416 members"
"Komi-san wa, Comyushou desu.",7.91,TV (12 eps),Oct 2021 - Dec 2021,"824,985 members"
Overlord,7.91,TV (13 eps),Jul 2015 - Sep 2015,"1,524,495 members"
Plastic Memories,7.91,TV (13 eps),Apr 2015 - Jun 2015,"911,476 members"
Shen Yin Wangzuo 2nd Season,7.91,ONA (52 eps),Nov 2022 -,"2,398 members"
SKET Dance: Imouto no Nayami ni Nayamu Ani ni Nayamu Imouto to Sono Nakama-tachi,7.91,OVA (1 eps),Feb 2013 - Feb 2013,"21,340 members"
Code Geass: Fukkatsu no Lelouch,7.91,Movie (1 eps),Feb 2019 - Feb 2019,"303,335 members"
Detective Conan OVA 09: The Stranger in 10 Years...,7.91,OVA (1 eps),Jun 2009 - Jun 2009,"20,669 members"
Final Fantasy VII: Advent Children Complete,7.91,OVA (1 eps),Apr 2009 - Apr 2009,"129,910 members"
Ginga Sengoku Gunyuuden Rai,7.91,TV (52 eps),Apr 1994 - Mar 1995,"15,154 members"
Hanasaku Iroha,7.91,TV (26 eps),Apr 2011 - Sep 2011,"324,784 members"
Boku no Hero Academia 4th Season,7.90,TV (25 eps),Oct 2019 - Apr 2020,"1,649,244 members"
Date A Live II: Kurumi Star Festival,7.90,OVA (1 eps),Dec 2014 - Dec 2014,"179,450 members"
Densetsu Kyojin Ideon: Hatsudou-hen,7.90,Movie (1 eps),Jul 1982 - Jul 1982,"9,600 members"
Drifters,7.90,TV (12 eps),Oct 2016 - Dec 2016,"548,031 members"
Ergo Proxy,7.90,TV (23 eps),Feb 2006 - Aug 2006,"625,260 members"
Gakuen Babysitters,7.90,TV (12 eps),Jan 2018 - Mar 2018,"322,961 members"
Hidamari Sketch x ☆☆☆,7.90,TV (12 eps),Jan 2010 - Mar 2010,"27,156 members"
Initial D Third Stage,7.90,Movie (1 eps),Jan 2001 - Jan 2001,"170,054 members"
Jormungand: Perfect Order,7.90,TV (12 eps),Oct 2012 - Dec 2012,"186,650 members"
Ushio to Tora (TV) 2nd Season,7.90,TV (13 eps),Apr 2016 - Jun 2016,"129,306 members"
Vanitas no Karte,7.90,TV (12 eps),Jul 2021 - Sep 2021,"492,798 members"
Yagate Kimi ni Naru,7.90,TV (13 eps),Oct 2018 - Dec 2018,"324,543 members"
Yuri!!! on Ice,7.90,TV (12 eps),Oct 2016 - Dec 2016,"856,256 members"
Zoku Sayonara Zetsubou Sensei,7.90,TV (13 eps),Jan 2008 - Mar 2008,"129,736 members"
Kidou Senshi Gundam: Suisei no Majo,7.90,TV (12 eps),Oct 2022 - Jan 2023,"132,587 members"
Kidou Senshi Zeta Gundam,7.90,TV (50 eps),Mar 1985 - Feb 1986,"71,470 members"
Lupin III (2015),7.90,TV (24 eps),Oct 2015 - Mar 2016,"68,906 members"
Macross,7.90,TV (36 eps),Oct 1982 - Jun 1983,"105,821 members"
One Piece Film: Gold,7.90,Movie (1 eps),Jul 2016 - Jul 2016,"203,475 members"
Ore Monogatari!!,7.90,TV (24 eps),Apr 2015 - Sep 2015,"651,221 members"
Quanzhi Gaoshou 2,7.90,ONA (12 eps),Sep 2020 - Dec 2020,"114,062 members"
Sakigake!! Cromartie Koukou,7.90,TV (26 eps),Oct 2003 - Mar 2004,"135,301 members"
Shirokuma Cafe,7.90,TV (50 eps),Apr 2012 - Mar 2013,"92,102 members"
Karigurashi no Arrietty,7.89,Movie (1 eps),Jul 2010 - Jul 2010,"332,977 members"
Kotonoha no Niwa,7.89,Movie (1 eps),May 2013 - May 2013,"833,333 members"
Macross F,7.89,TV (25 eps),Apr 2008 - Sep 2008,"144,104 members"
Saiunkoku Monogatari,7.89,TV (39 eps),Apr 2006 - Feb 2007,"93,660 members"
School Rumble,7.89,TV (26 eps),Oct 2004 - Mar 2005,"321,559 members"
Aria the Avvenire,7.89,Special (3 eps),Sep 2015 - Sep 2015,"26,804 members"
Bishoujo Senshi Sailor Moon S,7.89,TV (38 eps),Mar 1994 - Feb 1995,"142,489 members"
Boku no Hero Academia,7.89,TV (13 eps),Apr 2016 - Jun 2016,"2,906,321 members"
Code Geass: Hangyaku no Lelouch I - Koudou,7.89,Movie (1 eps),Oct 2017 - Oct 2017,"97,297 members"
Death Billiards,7.89,Movie (1 eps),Mar 2013 - Mar 2013,"233,916 members"
ef: A Tale of Memories.,7.89,TV (12 eps),Oct 2007 - Dec 2007,"251,461 members"
Free! Eternal Summer: Kindan no All Hard!,7.89,Special (1 eps),Mar 2015 - Mar 2015,"92,139 members"
Higurashi no Naku Koro ni,7.89,TV (26 eps),Apr 2006 - Sep 2006,"785,024 members"
Ie Naki Ko Remy,7.89,TV (23 eps),Sep 1996 - Mar 1997,"20,026 members"
JoJo no Kimyou na Bouken (TV),7.89,TV (26 eps),Oct 2012 - Apr 2013,"1,587,927 members"
Tennis no Oujisama: Zenkoku Taikai-hen,7.89,OVA (13 eps),Mar 2006 - Mar 2007,"45,387 members"
Tennis no Oujisama: Zenkoku Taikai-hen - Semifinal,7.89,OVA (6 eps),Jun 2007 - Jan 2008,"36,493 members"
Tonikaku Kawaii,7.89,TV (12 eps),Oct 2020 - Dec 2020,"701,318 members"
Summer Ghost,7.88,Movie (1 eps),Nov 2021 - Nov 2021,"89,319 members"
Terra e... (TV),7.88,TV (24 eps),Apr 2007 - Sep 2007,"60,727 members"
Kidou Senshi Gundam: Suisei no Majo - Prologue,7.88,Special (1 eps),Jul 2022 - Jul 2022,"39,607 members"
Les Misérables: Shoujo Cosette,7.88,TV (52 eps),Jan 2007 - Dec 2007,"28,361 members"
Megalo Box,7.88,TV (13 eps),Apr 2018 - Jun 2018,"492,792 members"
Mushoku Tensei: Isekai Ittara Honki Dasu - Eris no Goblin Toubatsu,7.88,Special (1 eps),Mar 2022 - Mar 2022,"143,565 members"
"Natsu e no Tunnel, Sayonara no Deguchi",7.88,Movie (1 eps),Sep 2022 - Sep 2022,"87,138 members"
One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,7.88,Special (1 eps),Aug 2017 - Aug 2017,"38,445 members"
Ookiku Furikabutte,7.88,TV (25 eps),Apr 2007 - Sep 2007,"98,470 members"
Osomatsu-san Movie,7.88,Movie (1 eps),Mar 2019 - Mar 2019,"14,593 members"
Quanzhi Gaoshou,7.88,ONA (12 eps),Apr 2017 - Jun 2017,"359,310 members"
Shijou Saikyou no Deshi Kenichi OVA,7.88,OVA (11 eps),Mar 2012 - May 2014,"56,086 members"
Space☆Dandy,7.88,TV (13 eps),Jan 2014 - Mar 2014,"344,547 members"
Detective Conan Movie 02: The Fourteenth Target,7.88,Movie (1 eps),Apr 1998 - Apr 1998,"61,862 members"
Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,7.88,Movie (1 eps),Feb 1988 - Feb 1988,"37,884 members"
Hoozuki no Reitetsu 2nd Season,7.88,TV (13 eps),Oct 2017 - Dec 2017,"45,784 members"
Jigoku Shoujo Futakomori,7.88,TV (26 eps),Oct 2006 - Apr 2007,"158,140 members"
Kami nomi zo Shiru Sekai II,7.88,TV (12 eps),Apr 2011 - Jun 2011,"382,526 members"
5-toubun no Hanayome Movie,7.87,Movie (1 eps),May 2022 - May 2022,"211,689 members"
BanG Dream! Film Live 2nd Stage,7.87,Movie (1 eps),Aug 2021 - Aug 2021,"6,445 members"
Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,7.87,Movie (1 eps),Jun 2012 - Jun 2012,"205,151 members"
Carnival Phantasm,7.87,OVA (12 eps),Aug 2011 - Dec 2011,"192,628 members"
Cike Wu Liuqi,7.87,ONA (10 eps),Apr 2018 - Jun 2018,"92,834 members"
Cool Doji Danshi,7.87,TV (24 eps),Oct 2022 - Mar 2023,"79,345 members"
Dance Dance Danseur,7.87,TV (11 eps),Apr 2022 - Jun 2022,"78,757 members"
Golden Kamuy,7.87,TV (12 eps),Apr 2018 - Jun 2018,"367,604 members"
Heartcatch Precure!,7.87,TV (49 eps),Feb 2010 - Jan 2011,"30,797 members"
